,Color,Values,Index
0,clear,4420,1
1,red,8704,1
2,green,2282,1
3,blue,3294,1
4,clear,4420,2
5,red,8627,2
6,green,2270,2
7,blue,3261,2
8,clear,4420,3
9,red,8789,3
10,green,2330,3
11,blue,3324,3
12,clear,4420,4
13,red,8480,4
14,green,2219,4
15,blue,3212,4
16,clear,4420,5
17,red,8531,5
18,green,2234,5
19,blue,3231,5
20,clear,4420,6
21,red,8536,6
22,green,2239,6
23,blue,3234,6
24,clear,4420,7
25,red,8534,7
26,green,2240,7
27,blue,3235,7
28,clear,4420,8
29,red,8547,8
30,green,2243,8
31,blue,3238,8
32,clear,4420,9
33,red,8552,9
34,green,2244,9
35,blue,3242,9
36,clear,4420,10
37,red,8331,10
38,green,2176,10
39,blue,3155,10
40,clear,4420,11
41,red,8472,11
42,green,2247,11
43,blue,3214,11
44,clear,4420,12
45,red,7375,12
46,green,1893,12
47,blue,2794,12
48,clear,4420,13
49,red,8121,13
50,green,2181,13
51,blue,3065,13
52,clear,4420,14
53,red,8103,14
54,green,2170,14
55,blue,3062,14
56,clear,4420,15
57,red,8209,15
58,green,2200,15
59,blue,3097,15
60,clear,4420,16
61,red,8383,16
62,green,2248,16
63,blue,3168,16
64,clear,4420,17
65,red,7246,17
66,green,1841,17
67,blue,2740,17
68,clear,4420,18
69,red,8255,18
70,green,2187,18
71,blue,3124,18
72,clear,4420,19
73,red,8406,19
74,green,2219,19
75,blue,3185,19
76,clear,4420,20
77,red,8439,20
78,green,2211,20
79,blue,3195,20
80,clear,4420,21
81,red,8615,21
82,green,2265,21
83,blue,3262,21
84,clear,4420,22
85,red,8445,22
86,green,2228,22
87,blue,3197,22
88,clear,4420,23
89,red,8730,23
90,green,2322,23
91,blue,3308,23
92,clear,4420,24
93,red,8574,24
94,green,2236,24
95,blue,3248,24
96,clear,4420,25
97,red,8709,25
98,green,2271,25
99,blue,3300,25
100,clear,4420,26
101,red,8902,26
102,green,2344,26
103,blue,3377,26
104,clear,4420,27
105,red,8757,27
106,green,2330,27
107,blue,3314,27
108,clear,4420,28
109,red,8380,28
110,green,2241,28
111,blue,3150,28
112,clear,4420,29
113,red,8244,29
114,green,2213,29
115,blue,3096,29
116,clear,4420,30
117,red,8280,30
118,green,2235,30
119,blue,3118,30
120,clear,4420,31
121,red,8163,31
122,green,2197,31
123,blue,3068,31
124,clear,4420,32
125,red,8090,32
126,green,2195,32
127,blue,3042,32
128,clear,4420,33
129,red,7501,33
130,green,1978,33
131,blue,2827,33
132,clear,4420,34
133,red,7955,34
134,green,2141,34
135,blue,3010,34
136,clear,4420,35
137,red,8178,35
138,green,2203,35
139,blue,3090,35
140,clear,4420,36
141,red,8270,36
142,green,2229,36
143,blue,3130,36
144,clear,4420,37
145,red,8579,37
146,green,2306,37
147,blue,3243,37
148,clear,4420,38
149,red,8036,38
150,green,2098,38
151,blue,3050,38
152,clear,4420,39
153,red,8517,39
154,green,2245,39
155,blue,3240,39
156,clear,4420,40
157,red,8539,40
158,green,2262,40
159,blue,3248,40
160,clear,4420,41
161,red,8708,41
162,green,2303,41
163,blue,3312,41
164,clear,4420,42
165,red,8709,42
166,green,2306,42
167,blue,3310,42
168,clear,4420,43
169,red,8671,43
170,green,2317,43
171,blue,3293,43
172,clear,4420,44
173,red,7846,44
174,green,2048,44
175,blue,2963,44
176,clear,4420,45
177,red,8413,45
178,green,2267,45
179,blue,3169,45
180,clear,4420,46
181,red,8393,46
182,green,2266,46
183,blue,3162,46
184,clear,4420,47
185,red,8252,47
186,green,2215,47
187,blue,3109,47
188,clear,4420,48
189,red,8287,48
190,green,2230,48
191,blue,3124,48
192,clear,4420,49
193,red,8167,49
194,green,2201,49
195,blue,3074,49
196,clear,4420,50
197,red,7622,50
198,green,2015,50
199,blue,2879,50
200,clear,4420,51
201,red,7883,51
202,green,2100,51
203,blue,2982,51
204,clear,4420,52
205,red,8038,52
206,green,2143,52
207,blue,3041,52
208,clear,4420,53
209,red,8091,53
210,green,2143,53
211,blue,3071,53
212,clear,4420,54
213,red,7489,54
214,green,1911,54
215,blue,2834,54
216,clear,4420,55
217,red,8833,55
218,green,2352,55
219,blue,3347,55
220,clear,4420,56
221,red,8760,56
222,green,2306,56
223,blue,3322,56
224,clear,4420,57
225,red,8903,57
226,green,2350,57
227,blue,3376,57
228,clear,4420,58
229,red,8793,58
230,green,2357,58
231,blue,3334,58
232,clear,4420,59
233,red,6750,59
234,green,1635,59
235,blue,2568,59
236,clear,4420,60
237,red,8493,60
238,green,2227,60
239,blue,3224,60
240,clear,4420,61
241,red,8603,61
242,green,2229,61
243,blue,3262,61
244,clear,4420,62
245,red,8620,62
246,green,2228,62
247,blue,3270,62
248,clear,4420,63
249,red,8721,63
250,green,2270,63
251,blue,3301,63
252,clear,4420,64
253,red,8417,64
254,green,2197,64
255,blue,3179,64
256,clear,4420,65
257,red,8610,65
258,green,2294,65
259,blue,3242,65
260,clear,4420,66
261,red,8544,66
262,green,2266,66
263,blue,3213,66
264,clear,4420,67
265,red,8781,67
266,green,2336,67
267,blue,3307,67
268,clear,4420,68
269,red,8843,68
270,green,2353,68
271,blue,3340,68
272,clear,4420,69
273,red,7794,69
274,green,1975,69
275,blue,2946,69
276,clear,4420,70
277,red,8988,70
278,green,2390,70
279,blue,3404,70
280,clear,4420,71
281,red,8967,71
282,green,2386,71
283,blue,3400,71
