,Color,Values,Index
0,clear,4420,1
1,red,3409,1
2,green,1012,1
3,blue,1430,1
4,clear,4420,2
5,red,3809,2
6,green,1023,2
7,blue,1564,2
8,clear,4420,3
9,red,6142,3
10,green,1541,3
11,blue,2446,3
12,clear,4420,4
13,red,12607,4
14,green,3410,4
15,blue,4907,4
16,clear,4420,5
17,red,13428,5
18,green,3446,5
19,blue,5232,5
20,clear,4420,6
21,red,13823,6
22,green,3522,6
23,blue,5338,6
24,clear,4420,7
25,red,13600,7
26,green,3660,7
27,blue,5171,7
28,clear,4420,8
29,red,14057,8
30,green,5206,8
31,blue,4837,8
32,clear,4420,9
33,red,16508,9
34,green,9702,9
35,blue,4176,9
36,clear,4420,10
37,red,21865,10
38,green,14968,10
39,blue,4664,10
40,clear,4420,11
41,red,23148,11
42,green,16040,11
43,blue,4923,11
44,clear,4420,12
45,red,25533,12
46,green,16801,12
47,blue,6105,12
48,clear,4420,13
49,red,36412,13
50,green,20424,13
51,blue,11399,13
52,clear,4420,14
53,red,58479,14
54,green,28478,14
55,blue,22054,14
56,clear,4420,15
57,red,65535,15
58,green,34523,15
59,blue,29654,15
60,clear,4420,16
61,red,65535,16
62,green,35466,16
63,blue,31086,16
64,clear,4420,17
65,red,65535,17
66,green,33909,17
67,blue,30012,17
68,clear,4420,18
69,red,62142,18
70,green,27373,18
71,blue,25493,18
72,clear,4420,19
73,red,41817,19
74,green,16318,19
75,blue,18360,19
76,clear,4420,20
77,red,28475,20
78,green,8246,20
79,blue,13902,20
80,clear,4420,21
81,red,22407,21
82,green,4935,21
83,blue,11712,21
84,clear,4420,22
85,red,20841,22
86,green,4229,22
87,blue,11072,22
88,clear,4420,23
89,red,20167,23
90,green,4062,23
91,blue,10689,23
92,clear,4420,24
93,red,19036,24
94,green,3952,24
95,blue,9871,24
96,clear,4420,25
97,red,15137,25
98,green,3250,25
99,blue,7445,25
100,clear,4420,26
101,red,12909,26
102,green,3142,26
103,blue,5442,26
104,clear,4420,27
105,red,11457,27
106,green,2940,27
107,blue,4459,27
108,clear,4420,28
109,red,11441,28
110,green,3138,28
111,blue,4337,28
112,clear,4420,29
113,red,12264,29
114,green,4424,29
115,blue,4255,29
116,clear,4420,30
117,red,15344,30
118,green,8823,30
119,blue,3966,30
120,clear,4420,31
121,red,21654,31
122,green,14662,31
123,blue,4691,31
124,clear,4420,32
125,red,23143,32
126,green,16022,32
127,blue,4902,32
128,clear,4420,33
129,red,24666,33
130,green,16487,33
131,blue,5700,33
132,clear,4420,34
133,red,31928,34
134,green,18863,34
135,blue,9285,34
136,clear,4420,35
137,red,49738,35
138,green,25192,35
139,blue,18037,35
140,clear,4420,36
141,red,65535,36
142,green,33047,36
143,blue,27896,36
144,clear,4420,37
145,red,65535,37
146,green,34653,37
147,blue,30332,37
148,clear,4420,38
149,red,65535,38
150,green,32985,38
151,blue,29175,38
152,clear,4420,39
153,red,59817,39
154,green,26252,39
155,blue,24633,39
156,clear,4420,40
157,red,39000,40
158,green,14788,40
159,blue,17383,40
160,clear,4420,41
161,red,25200,41
162,green,6548,41
163,blue,12727,41
164,clear,4420,42
165,red,20911,42
166,green,4289,42
167,blue,11152,42
168,clear,4420,43
169,red,20307,43
170,green,4051,43
171,blue,10836,43
172,clear,4420,44
173,red,19803,44
174,green,4002,44
175,blue,10452,44
176,clear,4420,45
177,red,17889,45
178,green,3776,45
179,blue,9099,45
180,clear,4420,46
181,red,13441,46
182,green,2988,46
183,blue,6176,46
184,clear,4420,47
185,red,11869,47
186,green,2887,47
187,blue,4773,47
188,clear,4420,48
189,red,11296,48
190,green,2861,48
191,blue,4374,48
192,clear,4420,49
193,red,11448,49
194,green,3218,49
195,blue,4306,49
196,clear,4420,50
197,red,12575,50
198,green,4620,50
199,blue,4327,50
200,clear,4420,51
201,red,13442,51
202,green,5598,51
203,blue,4370,51
204,clear,4420,52
205,red,14394,52
206,green,6761,52
207,blue,4366,52
208,clear,4420,53
209,red,19106,53
210,green,11868,53
211,blue,4602,53
212,clear,4420,54
213,red,22111,54
214,green,15071,54
215,blue,4772,54
216,clear,4420,55
217,red,22711,55
218,green,15546,55
219,blue,4936,55
220,clear,4420,56
221,red,22740,56
222,green,15564,56
223,blue,4941,56
224,clear,4420,57
225,red,22827,57
226,green,15622,57
227,blue,4957,57
228,clear,4420,58
229,red,22896,58
230,green,15655,58
231,blue,4970,58
232,clear,4420,59
233,red,22869,59
234,green,15644,59
235,blue,4965,59
236,clear,4420,60
237,red,22786,60
238,green,15596,60
239,blue,4951,60
240,clear,4420,61
241,red,22777,61
242,green,15588,61
243,blue,4949,61
244,clear,4420,62
245,red,22782,62
246,green,15591,62
247,blue,4950,62
248,clear,4420,63
249,red,22826,63
250,green,15612,63
251,blue,4959,63
252,clear,4420,64
253,red,22839,64
254,green,15621,64
255,blue,4964,64
256,clear,4420,65
257,red,22835,65
258,green,15620,65
259,blue,4963,65
260,clear,4420,66
261,red,22813,66
262,green,15606,66
263,blue,4957,66
264,clear,4420,67
265,red,22776,67
266,green,15585,67
267,blue,4948,67
268,clear,4420,68
269,red,22764,68
270,green,15576,68
271,blue,4945,68
272,clear,4420,69
273,red,22775,69
274,green,15581,69
275,blue,4949,69
276,clear,4420,70
277,red,22854,70
278,green,15627,70
279,blue,4964,70
280,clear,4420,71
281,red,22975,71
282,green,15699,71
283,blue,4978,71
