,Color,Values,Index
0,clear,4420,1
1,red,4144,1
2,green,1577,1
3,blue,1828,1
4,clear,4420,2
5,red,4307,2
6,green,1662,2
7,blue,1897,2
8,clear,4420,3
9,red,4329,3
10,green,1671,3
11,blue,1909,3
12,clear,4420,4
13,red,4285,4
14,green,1645,4
15,blue,1889,4
16,clear,4420,5
17,red,4297,5
18,green,1650,5
19,blue,1896,5
20,clear,4420,6
21,red,4237,6
22,green,1619,6
23,blue,1872,6
24,clear,4420,7
25,red,4283,7
26,green,1641,7
27,blue,1890,7
28,clear,4420,8
29,red,4288,8
30,green,1643,8
31,blue,1890,8
32,clear,4420,9
33,red,4320,9
34,green,1656,9
35,blue,1907,9
36,clear,4420,10
37,red,4336,10
38,green,1670,10
39,blue,1912,10
40,clear,4420,11
41,red,4320,11
42,green,1666,11
43,blue,1902,11
44,clear,4420,12
45,red,3383,12
46,green,1259,12
47,blue,1523,12
48,clear,4420,13
49,red,3586,13
50,green,1320,13
51,blue,1601,13
52,clear,4420,14
53,red,3696,14
54,green,1366,14
55,blue,1655,14
56,clear,4420,15
57,red,4289,15
58,green,1652,15
59,blue,1885,15
60,clear,4420,16
61,red,3619,16
62,green,1321,16
63,blue,1630,16
64,clear,4420,17
65,red,3869,17
66,green,1415,17
67,blue,1707,17
68,clear,4420,18
69,red,4204,18
70,green,1594,18
71,blue,1858,18
72,clear,4420,19
73,red,4283,19
74,green,1637,19
75,blue,1889,19
76,clear,4420,20
77,red,4303,20
78,green,1648,20
79,blue,1897,20
80,clear,4420,21
81,red,4320,21
82,green,1656,21
83,blue,1904,21
84,clear,4420,22
85,red,4279,22
86,green,1631,22
87,blue,1887,22
88,clear,4420,23
89,red,4198,23
90,green,1589,23
91,blue,1855,23
92,clear,4420,24
93,red,4297,24
94,green,1638,24
95,blue,1894,24
96,clear,4420,25
97,red,4304,25
98,green,1642,25
99,blue,1897,25
100,clear,4420,26
101,red,4285,26
102,green,1632,26
103,blue,1890,26
104,clear,4420,27
105,red,4286,27
106,green,1633,27
107,blue,1890,27
108,clear,4420,28
109,red,4274,28
110,green,1632,28
111,blue,1885,28
112,clear,4420,29
113,red,4226,29
114,green,1601,29
115,blue,1867,29
116,clear,4420,30
117,red,3946,30
118,green,1487,30
119,blue,1755,30
120,clear,4420,31
121,red,3403,31
122,green,1272,31
123,blue,1533,31
124,clear,4420,32
125,red,3221,32
126,green,1133,32
127,blue,1453,32
128,clear,4420,33
129,red,3937,33
130,green,1486,33
131,blue,1758,33
132,clear,4420,34
133,red,4302,34
134,green,1654,34
135,blue,1894,34
136,clear,4420,35
137,red,4101,35
138,green,1544,35
139,blue,1800,35
140,clear,4420,36
141,red,3896,36
142,green,1420,36
143,blue,1727,36
144,clear,4420,37
145,red,3931,37
146,green,1448,37
147,blue,1747,37
148,clear,4420,38
149,red,3529,38
150,green,1265,38
151,blue,1586,38
152,clear,4420,39
153,red,4012,39
154,green,1503,39
155,blue,1782,39
156,clear,4420,40
157,red,4164,40
158,green,1599,40
159,blue,1847,40
160,clear,4420,41
161,red,4134,41
162,green,1585,41
163,blue,1835,41
164,clear,4420,42
165,red,4297,42
166,green,1648,42
167,blue,1897,42
168,clear,4420,43
169,red,4376,43
170,green,1687,43
171,blue,1929,43
172,clear,4420,44
173,red,4380,44
174,green,1690,44
175,blue,1932,44
176,clear,4420,45
177,red,4384,45
178,green,1691,45
179,blue,1933,45
180,clear,4420,46
181,red,4389,46
182,green,1693,46
183,blue,1936,46
184,clear,4420,47
185,red,4375,47
186,green,1684,47
187,blue,1930,47
188,clear,4420,48
189,red,4394,48
190,green,1690,48
191,blue,1939,48
192,clear,4420,49
193,red,4371,49
194,green,1680,49
195,blue,1929,49
196,clear,4420,50
197,red,4383,50
198,green,1690,50
199,blue,1934,50
200,clear,4420,51
201,red,4379,51
202,green,1689,51
203,blue,1933,51
204,clear,4420,52
205,red,4380,52
206,green,1690,52
207,blue,1933,52
208,clear,4420,53
209,red,4386,53
210,green,1697,53
211,blue,1934,53
212,clear,4420,54
213,red,4390,54
214,green,1699,54
215,blue,1936,54
216,clear,4420,55
217,red,4393,55
218,green,1698,55
219,blue,1938,55
220,clear,4420,56
221,red,4395,56
222,green,1700,56
223,blue,1939,56
224,clear,4420,57
225,red,4372,57
226,green,1691,57
227,blue,1926,57
228,clear,4420,58
229,red,3891,58
230,green,1452,58
231,blue,1740,58
232,clear,4420,59
233,red,3604,59
234,green,1291,59
235,blue,1618,59
236,clear,4420,60
237,red,3656,60
238,green,1293,60
239,blue,1634,60
240,clear,4420,61
241,red,3631,61
242,green,1283,61
243,blue,1623,61
244,clear,4420,62
245,red,3364,62
246,green,1162,62
247,blue,1514,62
248,clear,4420,63
249,red,3561,63
250,green,1250,63
251,blue,1595,63
252,clear,4420,64
253,red,3630,64
254,green,1290,64
255,blue,1626,64
256,clear,4420,65
257,red,3900,65
258,green,1417,65
259,blue,1732,65
260,clear,4420,66
261,red,4183,66
262,green,1553,66
263,blue,1845,66
264,clear,4420,67
265,red,3463,67
266,green,1219,67
267,blue,1526,67
268,clear,4420,68
269,red,3820,68
270,green,1414,68
271,blue,1694,68
272,clear,4420,69
273,red,3883,69
274,green,1445,69
275,blue,1718,69
276,clear,4420,70
277,red,3665,70
278,green,1332,70
279,blue,1619,70
280,clear,4420,71
281,red,4176,71
282,green,1580,71
283,blue,1842,71
