,Color,Values,Index
0,clear,4420,1
1,red,22442,1
2,green,4373,1
3,blue,12099,1
4,clear,4420,2
5,red,22509,2
6,green,4421,2
7,blue,12057,2
8,clear,4420,3
9,red,22849,3
10,green,4486,3
11,blue,12228,3
12,clear,4420,4
13,red,23070,4
14,green,4478,4
15,blue,12415,4
16,clear,4420,5
17,red,23507,5
18,green,4588,5
19,blue,12624,5
20,clear,4420,6
21,red,23485,6
22,green,4585,6
23,blue,12603,6
24,clear,4420,7
25,red,23685,7
26,green,4654,7
27,blue,12660,7
28,clear,4420,8
29,red,23875,8
30,green,4750,8
31,blue,12721,8
32,clear,4420,9
33,red,22373,9
34,green,4231,9
35,blue,12110,9
36,clear,4420,10
37,red,23110,10
38,green,4516,10
39,blue,12370,10
40,clear,4420,11
41,red,22869,11
42,green,4426,11
43,blue,12296,11
44,clear,4420,12
45,red,23155,12
46,green,4543,12
47,blue,12401,12
48,clear,4420,13
49,red,22927,13
50,green,4534,13
51,blue,12253,13
52,clear,4420,14
53,red,21871,14
54,green,4240,14
55,blue,11762,14
56,clear,4420,15
57,red,22186,15
58,green,4374,15
59,blue,11874,15
60,clear,4420,16
61,red,22151,16
62,green,4386,16
63,blue,11835,16
64,clear,4420,17
65,red,22433,17
66,green,4448,17
67,blue,11982,17
68,clear,4420,18
69,red,22761,18
70,green,4516,18
71,blue,12130,18
72,clear,4420,19
73,red,22316,19
74,green,4360,19
75,blue,11968,19
76,clear,4420,20
77,red,22053,20
78,green,4285,20
79,blue,11857,20
80,clear,4420,21
81,red,21664,21
82,green,4171,21
83,blue,11700,21
84,clear,4420,22
85,red,21806,22
86,green,4191,22
87,blue,11779,22
88,clear,4420,23
89,red,22480,23
90,green,4378,23
91,blue,12072,23
92,clear,4420,24
93,red,22700,24
94,green,4446,24
95,blue,12172,24
96,clear,4420,25
97,red,22036,25
98,green,4262,25
99,blue,11873,25
100,clear,4420,26
101,red,22348,26
102,green,4378,26
103,blue,11990,26
104,clear,4420,27
105,red,22419,27
106,green,4402,27
107,blue,12012,27
108,clear,4420,28
109,red,22747,28
110,green,4509,28
111,blue,12136,28
112,clear,4420,29
113,red,22192,29
114,green,4373,29
115,blue,11897,29
116,clear,4420,30
117,red,21905,30
118,green,4290,30
119,blue,11781,30
120,clear,4420,31
121,red,22478,31
122,green,4432,31
123,blue,12055,31
124,clear,4420,32
125,red,22596,32
126,green,4460,32
127,blue,12110,32
128,clear,4420,33
129,red,22219,33
130,green,4369,33
131,blue,11943,33
132,clear,4420,34
133,red,22294,34
134,green,4430,34
135,blue,11919,34
136,clear,4420,35
137,red,22197,35
138,green,4358,35
139,blue,11909,35
140,clear,4420,36
141,red,22133,36
142,green,4304,36
143,blue,11902,36
144,clear,4420,37
145,red,21905,37
146,green,4244,37
147,blue,11786,37
148,clear,4420,38
149,red,21449,38
150,green,4168,38
151,blue,11537,38
152,clear,4420,39
153,red,21217,39
154,green,4197,39
155,blue,11370,39
156,clear,4420,40
157,red,20766,40
158,green,4097,40
159,blue,11223,40
160,clear,4420,41
161,red,21872,41
162,green,4394,41
163,blue,11767,41
164,clear,4420,42
165,red,22334,42
166,green,4507,42
167,blue,11987,42
168,clear,4420,43
169,red,22373,43
170,green,4503,43
171,blue,12013,43
172,clear,4420,44
173,red,22397,44
174,green,4506,44
175,blue,12014,44
176,clear,4420,45
177,red,22722,45
178,green,4514,45
179,blue,12190,45
180,clear,4420,46
181,red,23212,46
182,green,4590,46
183,blue,12428,46
184,clear,4420,47
185,red,23351,47
186,green,4611,47
187,blue,12507,47
188,clear,4420,48
189,red,23024,48
190,green,4529,48
191,blue,12345,48
192,clear,4420,49
193,red,23035,49
194,green,4556,49
195,blue,12281,49
196,clear,4420,50
197,red,23042,50
198,green,4565,50
199,blue,12280,50
200,clear,4420,51
201,red,23052,51
202,green,4540,51
203,blue,12294,51
204,clear,4420,52
205,red,23355,52
206,green,4651,52
207,blue,12414,52
208,clear,4420,53
209,red,23311,53
210,green,4626,53
211,blue,12414,53
212,clear,4420,54
213,red,22728,54
214,green,4424,54
215,blue,12205,54
216,clear,4420,55
217,red,23352,55
218,green,4596,55
219,blue,12473,55
220,clear,4420,56
221,red,23377,56
222,green,4584,56
223,blue,12507,56
224,clear,4420,57
225,red,23459,57
226,green,4575,57
227,blue,12563,57
228,clear,4420,58
229,red,23470,58
230,green,4574,58
231,blue,12566,58
232,clear,4420,59
233,red,22080,59
234,green,4154,59
235,blue,12017,59
236,clear,4420,60
237,red,23059,60
238,green,4540,60
239,blue,12353,60
240,clear,4420,61
241,red,23289,61
242,green,4632,61
243,blue,12437,61
244,clear,4420,62
245,red,23551,62
246,green,4719,62
247,blue,12544,62
248,clear,4420,63
249,red,23546,63
250,green,4737,63
251,blue,12495,63
252,clear,4420,64
253,red,21367,64
254,green,3974,64
255,blue,11640,64
256,clear,4420,65
257,red,22953,65
258,green,4520,65
259,blue,12281,65
260,clear,4420,66
261,red,23015,66
262,green,4536,66
263,blue,12314,66
264,clear,4420,67
265,red,23073,67
266,green,4549,67
267,blue,12359,67
268,clear,4420,68
269,red,23113,68
270,green,4554,68
271,blue,12375,68
272,clear,4420,69
273,red,23133,69
274,green,4557,69
275,blue,12386,69
276,clear,4420,70
277,red,23039,70
278,green,4536,70
279,blue,12339,70
280,clear,4420,71
281,red,23255,71
282,green,4590,71
283,blue,12421,71
