,Color,Values,Index
0,clear,4420,1
1,red,15684,1
2,green,11397,1
3,blue,3105,1
4,clear,4420,2
5,red,16054,2
6,green,11545,2
7,blue,3237,2
8,clear,4420,3
9,red,15986,3
10,green,11550,3
11,blue,3187,3
12,clear,4420,4
13,red,16214,4
14,green,11820,4
15,blue,3167,4
16,clear,4420,5
17,red,16428,5
18,green,11958,5
19,blue,3208,5
20,clear,4420,6
21,red,16358,6
22,green,11942,6
23,blue,3185,6
24,clear,4420,7
25,red,16475,7
26,green,11972,7
27,blue,3228,7
28,clear,4420,8
29,red,16454,8
30,green,11908,8
31,blue,3268,8
32,clear,4420,9
33,red,15522,9
34,green,11562,9
35,blue,2922,9
36,clear,4420,10
37,red,16493,10
38,green,11916,10
39,blue,3290,10
40,clear,4420,11
41,red,16533,11
42,green,11951,11
43,blue,3289,11
44,clear,4420,12
45,red,16427,12
46,green,11834,12
47,blue,3284,12
48,clear,4420,13
49,red,16385,13
50,green,11836,13
51,blue,3265,13
52,clear,4420,14
53,red,16503,14
54,green,11818,14
55,blue,3330,14
56,clear,4420,15
57,red,16069,15
58,green,11683,15
59,blue,3156,15
60,clear,4420,16
61,red,16278,16
62,green,11807,16
63,blue,3211,16
64,clear,4420,17
65,red,16518,17
66,green,11914,17
67,blue,3287,17
68,clear,4420,18
69,red,16410,18
70,green,11852,18
71,blue,3264,18
72,clear,4420,19
73,red,16388,19
74,green,11820,19
75,blue,3245,19
76,clear,4420,20
77,red,17057,20
78,green,12013,20
79,blue,3552,20
80,clear,4420,21
81,red,16761,21
82,green,11887,21
83,blue,3441,21
84,clear,4420,22
85,red,16832,22
86,green,11911,22
87,blue,3475,22
88,clear,4420,23
89,red,16721,23
90,green,11851,23
91,blue,3450,23
92,clear,4420,24
93,red,16459,24
94,green,11687,24
95,blue,3386,24
96,clear,4420,25
97,red,15012,25
98,green,11136,25
99,blue,2845,25
100,clear,4420,26
101,red,15922,26
102,green,11564,26
103,blue,3136,26
104,clear,4420,27
105,red,15963,27
106,green,11622,27
107,blue,3132,27
108,clear,4420,28
109,red,15967,28
110,green,11586,28
111,blue,3137,28
112,clear,4420,29
113,red,15964,29
114,green,11513,29
115,blue,3174,29
116,clear,4420,30
117,red,15554,30
118,green,11409,30
119,blue,2990,30
120,clear,4420,31
121,red,16184,31
122,green,11663,31
123,blue,3245,31
124,clear,4420,32
125,red,15773,32
126,green,11288,32
127,blue,3213,32
128,clear,4420,33
129,red,15970,33
130,green,11381,33
131,blue,3280,33
132,clear,4420,34
133,red,16137,34
134,green,11476,34
135,blue,3325,34
136,clear,4420,35
137,red,15181,35
138,green,11138,35
139,blue,2950,35
140,clear,4420,36
141,red,16240,36
142,green,11582,36
143,blue,3313,36
144,clear,4420,37
145,red,16461,37
146,green,11708,37
147,blue,3371,37
148,clear,4420,38
149,red,16941,38
150,green,11963,38
151,blue,3508,38
152,clear,4420,39
153,red,16589,39
154,green,11975,39
155,blue,3311,39
156,clear,4420,40
157,red,16801,40
158,green,12134,40
159,blue,3338,40
160,clear,4420,41
161,red,16959,41
162,green,12239,41
163,blue,3381,41
164,clear,4420,42
165,red,17240,42
166,green,12372,42
167,blue,3473,42
168,clear,4420,43
169,red,17248,43
170,green,12396,43
171,blue,3463,43
172,clear,4420,44
173,red,17523,44
174,green,12461,44
175,blue,3587,44
176,clear,4420,45
177,red,16240,45
178,green,11991,45
179,blue,3117,45
180,clear,4420,46
181,red,16669,46
182,green,12016,46
183,blue,3345,46
184,clear,4420,47
185,red,16385,47
186,green,11784,47
187,blue,3298,47
188,clear,4420,48
189,red,16413,48
190,green,11742,48
191,blue,3334,48
192,clear,4420,49
193,red,16460,49
194,green,11741,49
195,blue,3362,49
196,clear,4420,50
197,red,16428,50
198,green,11702,50
199,blue,3363,50
200,clear,4420,51
201,red,15893,51
202,green,11545,51
203,blue,3126,51
204,clear,4420,52
205,red,15981,52
206,green,11587,52
207,blue,3155,52
208,clear,4420,53
209,red,16157,53
210,green,11706,53
211,blue,3192,53
212,clear,4420,54
213,red,16154,54
214,green,11702,54
215,blue,3189,54
216,clear,4420,55
217,red,16223,55
218,green,11701,55
219,blue,3229,55
220,clear,4420,56
221,red,15982,56
222,green,11628,56
223,blue,3130,56
224,clear,4420,57
225,red,16217,57
226,green,11712,57
227,blue,3222,57
228,clear,4420,58
229,red,16401,58
230,green,11856,58
231,blue,3241,58
232,clear,4420,59
233,red,16821,59
234,green,12096,59
235,blue,3362,59
236,clear,4420,60
237,red,16855,60
238,green,12132,60
239,blue,3373,60
240,clear,4420,61
241,red,16972,61
242,green,12139,61
243,blue,3412,61
244,clear,4420,62
245,red,15960,62
246,green,11728,62
247,blue,3058,62
248,clear,4420,63
249,red,16650,63
250,green,11986,63
251,blue,3317,63
252,clear,4420,64
253,red,16583,64
254,green,11989,64
255,blue,3282,64
256,clear,4420,65
257,red,16776,65
258,green,12073,65
259,blue,3347,65
260,clear,4420,66
261,red,16951,66
262,green,12134,66
263,blue,3420,66
264,clear,4420,67
265,red,15566,67
266,green,11562,67
267,blue,2943,67
268,clear,4420,68
269,red,16681,68
270,green,11962,68
271,blue,3367,68
272,clear,4420,69
273,red,16407,69
274,green,11841,69
275,blue,3269,69
276,clear,4420,70
277,red,15170,70
278,green,11301,70
279,blue,2849,70
280,clear,4420,71
281,red,16220,71
282,green,11720,71
283,blue,3221,71
