,Color,Values,Index
0,clear,4420,1
1,red,2933,1
2,green,1338,1
3,blue,1174,1
4,clear,4420,2
5,red,3154,2
6,green,1552,2
7,blue,1190,2
8,clear,4420,3
9,red,3691,3
10,green,2017,3
11,blue,1247,3
12,clear,4420,4
13,red,5042,4
14,green,3232,4
15,blue,1376,4
16,clear,4420,5
17,red,9076,5
18,green,6374,5
19,blue,2025,5
20,clear,4420,6
21,red,19332,6
22,green,13118,6
23,blue,4340,6
24,clear,4420,7
25,red,25707,7
26,green,18051,7
27,blue,5390,7
28,clear,4420,8
29,red,27152,8
30,green,19040,8
31,blue,5696,8
32,clear,4420,9
33,red,28923,9
34,green,19675,9
35,blue,6516,9
36,clear,4420,10
37,red,36467,10
38,green,21975,10
39,blue,10328,10
40,clear,4420,11
41,red,52481,11
42,green,27285,11
43,blue,18381,11
44,clear,4420,12
45,red,65535,12
46,green,34462,12
47,blue,27343,12
48,clear,4420,13
49,red,65535,13
50,green,38668,13
51,blue,32424,13
52,clear,4420,14
53,red,65535,14
54,green,39523,14
55,blue,33741,14
56,clear,4420,15
57,red,65535,15
58,green,38691,15
59,blue,33222,15
60,clear,4420,16
61,red,65535,16
62,green,33897,16
63,blue,29831,16
64,clear,4420,17
65,red,47799,17
66,green,19287,17
67,blue,20532,17
68,clear,4420,18
69,red,27206,18
70,green,7165,18
71,blue,13606,18
72,clear,4420,19
73,red,21843,19
74,green,4464,19
75,blue,11622,19
76,clear,4420,20
77,red,20906,20
78,green,4163,20
79,blue,11151,20
80,clear,4420,21
81,red,19468,21
82,green,4061,21
83,blue,10073,21
84,clear,4420,22
85,red,14723,22
86,green,3175,22
87,blue,7113,22
88,clear,4420,23
89,red,12333,23
90,green,2981,23
91,blue,5118,23
92,clear,4420,24
93,red,11415,24
94,green,2900,24
95,blue,4423,24
96,clear,4420,25
97,red,11219,25
98,green,2993,25
99,blue,4234,25
100,clear,4420,26
101,red,12100,26
102,green,4097,26
103,blue,4270,26
104,clear,4420,27
105,red,15182,27
106,green,8338,27
107,blue,4048,27
108,clear,4420,28
109,red,21795,28
110,green,14704,28
111,blue,4735,28
112,clear,4420,29
113,red,23692,29
114,green,16609,29
115,blue,4908,29
116,clear,4420,30
117,red,24112,30
118,green,16732,30
119,blue,5177,30
120,clear,4420,31
121,red,26291,31
122,green,17422,31
123,blue,6249,31
124,clear,4420,32
125,red,33080,32
126,green,19779,32
127,blue,9475,32
128,clear,4420,33
129,red,47993,33
130,green,25154,33
131,blue,16662,33
132,clear,4420,34
133,red,65535,34
134,green,33755,34
135,blue,27393,34
136,clear,4420,35
137,red,65535,35
138,green,37109,35
139,blue,32006,35
140,clear,4420,36
141,red,65535,36
142,green,36912,36
143,blue,32333,36
144,clear,4420,37
145,red,65535,37
146,green,33169,37
147,blue,29589,37
148,clear,4420,38
149,red,51758,38
150,green,21395,38
151,blue,22024,38
152,clear,4420,39
153,red,27642,39
154,green,7394,39
155,blue,13852,39
156,clear,4420,40
157,red,21740,40
158,green,4376,40
159,blue,11646,40
160,clear,4420,41
161,red,21108,41
162,green,4198,41
163,blue,11267,41
164,clear,4420,42
165,red,20132,42
166,green,4128,42
167,blue,10488,42
168,clear,4420,43
169,red,17514,43
170,green,3781,43
171,blue,8674,43
172,clear,4420,44
173,red,17508,44
174,green,3788,44
175,blue,8655,44
176,clear,4420,45
177,red,14072,45
178,green,2997,45
179,blue,6608,45
180,clear,4420,46
181,red,12288,46
182,green,2945,46
183,blue,4991,46
184,clear,4420,47
185,red,11603,47
186,green,2879,47
187,blue,4473,47
188,clear,4420,48
189,red,11473,48
190,green,3140,48
191,blue,4304,48
192,clear,4420,49
193,red,13308,49
194,green,5353,49
195,blue,4356,49
196,clear,4420,50
197,red,17436,50
198,green,10620,50
199,blue,4215,50
200,clear,4420,51
201,red,22216,51
202,green,15542,51
203,blue,4532,51
204,clear,4420,52
205,red,23494,52
206,green,16690,52
207,blue,4746,52
208,clear,4420,53
209,red,25341,53
210,green,17411,53
211,blue,5583,53
212,clear,4420,54
213,red,32126,54
214,green,19690,54
215,blue,8835,54
216,clear,4420,55
217,red,50067,55
218,green,26228,55
219,blue,17331,55
220,clear,4420,56
221,red,65535,56
222,green,35638,56
223,blue,28760,56
224,clear,4420,57
225,red,65535,57
226,green,38996,57
227,blue,33122,57
228,clear,4420,58
229,red,65535,58
230,green,37992,58
231,blue,32581,58
232,clear,4420,59
233,red,65535,59
234,green,33098,59
235,blue,28999,59
236,clear,4420,60
237,red,60527,60
238,green,26595,60
239,blue,24828,60
240,clear,4420,61
241,red,38770,61
242,green,14177,61
243,blue,17455,61
244,clear,4420,62
245,red,25745,62
246,green,6474,62
247,blue,13132,62
248,clear,4420,63
249,red,25513,63
250,green,6319,63
251,blue,13068,63
252,clear,4420,64
253,red,21860,64
254,green,4516,64
255,blue,11675,64
256,clear,4420,65
257,red,20727,65
258,green,4074,65
259,blue,11113,65
260,clear,4420,66
261,red,19883,66
262,green,4014,66
263,blue,10482,66
264,clear,4420,67
265,red,17136,67
266,green,3738,67
267,blue,8399,67
268,clear,4420,68
269,red,13235,68
270,green,3079,68
271,blue,5739,68
272,clear,4420,69
273,red,12386,69
274,green,2934,69
275,blue,5112,69
276,clear,4420,70
277,red,11605,70
278,green,2847,70
279,blue,4571,70
280,clear,4420,71
281,red,11524,71
282,green,2886,71
283,blue,4514,71
