,Color,Values,Index
0,clear,4420,1
1,red,65535,1
2,green,40239,1
3,blue,34932,1
4,clear,4420,2
5,red,65535,2
6,green,40747,2
7,blue,34922,2
8,clear,4420,3
9,red,65535,3
10,green,40894,3
11,blue,34976,3
12,clear,4420,4
13,red,65535,4
14,green,40730,4
15,blue,34814,4
16,clear,4420,5
17,red,65535,5
18,green,40401,5
19,blue,34559,5
20,clear,4420,6
21,red,65535,6
22,green,39483,6
23,blue,33918,6
24,clear,4420,7
25,red,65535,7
26,green,38974,7
27,blue,33748,7
28,clear,4420,8
29,red,65535,8
30,green,40127,8
31,blue,35135,8
32,clear,4420,9
33,red,65535,9
34,green,39466,9
35,blue,34569,9
36,clear,4420,10
37,red,65535,10
38,green,38674,10
39,blue,33799,10
40,clear,4420,11
41,red,65535,11
42,green,38258,11
43,blue,33361,11
44,clear,4420,12
45,red,65535,12
46,green,39476,12
47,blue,34349,12
48,clear,4420,13
49,red,65535,13
50,green,39476,13
51,blue,34395,13
52,clear,4420,14
53,red,65535,14
54,green,39411,14
55,blue,34328,14
56,clear,4420,15
57,red,65535,15
58,green,39725,15
59,blue,34621,15
60,clear,4420,16
61,red,65535,16
62,green,39604,16
63,blue,34550,16
64,clear,4420,17
65,red,65535,17
66,green,38741,17
67,blue,33646,17
68,clear,4420,18
69,red,65535,18
70,green,40110,18
71,blue,35066,18
72,clear,4420,19
73,red,65535,19
74,green,40308,19
75,blue,35311,19
76,clear,4420,20
77,red,65535,20
78,green,40344,20
79,blue,35366,20
80,clear,4420,21
81,red,65535,21
82,green,39688,21
83,blue,34712,21
84,clear,4420,22
85,red,65535,22
86,green,39314,22
87,blue,34275,22
88,clear,4420,23
89,red,65535,23
90,green,39692,23
91,blue,34583,23
92,clear,4420,24
93,red,65535,24
94,green,39921,24
95,blue,34813,24
96,clear,4420,25
97,red,65535,25
98,green,39918,25
99,blue,34813,25
100,clear,4420,26
101,red,65535,26
102,green,39506,26
103,blue,34426,26
104,clear,4420,27
105,red,65535,27
106,green,38785,27
107,blue,33755,27
108,clear,4420,28
109,red,65535,28
110,green,39582,28
111,blue,34604,28
112,clear,4420,29
113,red,65535,29
114,green,39218,29
115,blue,34387,29
116,clear,4420,30
117,red,65535,30
118,green,38640,30
119,blue,33815,30
120,clear,4420,31
121,red,65535,31
122,green,38654,31
123,blue,33741,31
124,clear,4420,32
125,red,65535,32
126,green,38265,32
127,blue,32970,32
128,clear,4420,33
129,red,65535,33
130,green,41099,33
131,blue,35138,33
132,clear,4420,34
133,red,65535,34
134,green,41627,34
135,blue,35530,34
136,clear,4420,35
137,red,65535,35
138,green,41727,35
139,blue,35655,35
140,clear,4420,36
141,red,65535,36
142,green,41797,36
143,blue,35726,36
144,clear,4420,37
145,red,65535,37
146,green,41255,37
147,blue,35356,37
148,clear,4420,38
149,red,65535,38
150,green,39984,38
151,blue,34266,38
152,clear,4420,39
153,red,65535,39
154,green,41039,39
155,blue,35677,39
156,clear,4420,40
157,red,65535,40
158,green,40667,40
159,blue,35542,40
160,clear,4420,41
161,red,65535,41
162,green,40021,41
163,blue,34974,41
164,clear,4420,42
165,red,65535,42
166,green,39783,42
167,blue,34744,42
168,clear,4420,43
169,red,65535,43
170,green,39071,43
171,blue,33941,43
172,clear,4420,44
173,red,65535,44
174,green,39749,44
175,blue,34669,44
176,clear,4420,45
177,red,65535,45
178,green,39634,45
179,blue,34626,45
180,clear,4420,46
181,red,65535,46
182,green,39597,46
183,blue,34526,46
184,clear,4420,47
185,red,65535,47
186,green,39283,47
187,blue,34226,47
188,clear,4420,48
189,red,65535,48
190,green,38601,48
191,blue,33531,48
192,clear,4420,49
193,red,65535,49
194,green,39292,49
195,blue,34188,49
196,clear,4420,50
197,red,65535,50
198,green,39499,50
199,blue,34423,50
200,clear,4420,51
201,red,65535,51
202,green,39422,51
203,blue,34346,51
204,clear,4420,52
205,red,65535,52
206,green,39423,52
207,blue,34387,52
208,clear,4420,53
209,red,65535,53
210,green,38427,53
211,blue,33328,53
212,clear,4420,54
213,red,65535,54
214,green,39293,54
215,blue,34167,54
216,clear,4420,55
217,red,65535,55
218,green,39386,55
219,blue,34307,55
220,clear,4420,56
221,red,65535,56
222,green,39395,56
223,blue,34302,56
224,clear,4420,57
225,red,65535,57
226,green,39296,57
227,blue,34207,57
228,clear,4420,58
229,red,65535,58
230,green,38829,58
231,blue,33750,58
232,clear,4420,59
233,red,65535,59
234,green,39251,59
235,blue,34180,59
236,clear,4420,60
237,red,65535,60
238,green,39474,60
239,blue,34453,60
240,clear,4420,61
241,red,65535,61
242,green,39365,61
243,blue,34373,61
244,clear,4420,62
245,red,65535,62
246,green,39065,62
247,blue,34092,62
248,clear,4420,63
249,red,65535,63
250,green,38373,63
251,blue,33402,63
252,clear,4420,64
253,red,65535,64
254,green,39011,64
255,blue,34086,64
256,clear,4420,65
257,red,65535,65
258,green,39208,65
259,blue,34277,65
260,clear,4420,66
261,red,65535,66
262,green,39545,66
263,blue,34597,66
264,clear,4420,67
265,red,65535,67
266,green,39301,67
267,blue,34443,67
268,clear,4420,68
269,red,65535,68
270,green,39419,68
271,blue,34576,68
272,clear,4420,69
273,red,65535,69
274,green,39471,69
275,blue,34603,69
276,clear,4420,70
277,red,65535,70
278,green,39606,70
279,blue,34689,70
280,clear,4420,71
281,red,65535,71
282,green,39918,71
283,blue,34776,71
